source, target, weight
0 , 0 , 1
0 , 8 , 1
0 , 124 , 1
0 , 171 , 1
0 , 161 , 1
0 , 143 , 1
0 , 132 , 1
0 , 66 , 1
0 , 73 , 1
1 , 75 , 1
1 , 91 , 1
1 , 179 , 1
1 , 40 , 1
1 , 207 , 1
1 , 85 , 1
1 , 112 , 1
1 , 143 , 1
1 , 154 , 1
1 , 1 , 1
1 , 90 , 1
1 , 151 , 1
2 , 100 , 1
2 , 123 , 1
2 , 19 , 1
2 , 184 , 1
2 , 175 , 1
2 , 2 , 1
2 , 25 , 1
3 , 195 , 1
3 , 3 , 1
3 , 32 , 1
4 , 184 , 1
4 , 149 , 1
4 , 19 , 1
4 , 25 , 1
4 , 175 , 1
4 , 4 , 1
5 , 51 , 1
5 , 171 , 1
5 , 40 , 1
5 , 90 , 1
5 , 153 , 1
5 , 30 , 1
5 , 182 , 1
5 , 15 , 1
5 , 124 , 1
5 , 5 , 1
5 , 172 , 1
5 , 105 , 1
5 , 101 , 1
6 , 172 , 1
6 , 195 , 1
6 , 110 , 1
6 , 207 , 1
6 , 143 , 1
6 , 157 , 1
6 , 124 , 1
6 , 215 , 1
6 , 29 , 1
6 , 6 , 1
6 , 159 , 1
6 , 8 , 1
6 , 76 , 1
7 , 28 , 1
7 , 182 , 1
7 , 7 , 1
7 , 47 , 1
7 , 217 , 1
7 , 169 , 1
7 , 176 , 1
7 , 41 , 1
7 , 64 , 1
7 , 22 , 1
7 , 141 , 1
7 , 113 , 1
8 , 8 , 1
8 , 66 , 1
8 , 73 , 1
8 , 161 , 1
8 , 0 , 1
8 , 204 , 1
8 , 143 , 1
9 , 86 , 1
9 , 9 , 1
9 , 174 , 1
9 , 218 , 1
9 , 118 , 1
9 , 115 , 1
9 , 96 , 1
9 , 44 , 1
9 , 171 , 1
9 , 123 , 1
9 , 99 , 1
9 , 81 , 1
9 , 185 , 1
10 , 107 , 1
10 , 139 , 1
10 , 58 , 1
10 , 164 , 1
10 , 123 , 1
10 , 10 , 1
10 , 77 , 1
10 , 136 , 1
13 , 3 , 1
13 , 150 , 1
13 , 141 , 1
13 , 2 , 1
13 , 30 , 1
13 , 132 , 1
13 , 213 , 1
13 , 194 , 1
13 , 32 , 1
13 , 125 , 1
13 , 159 , 1
13 , 208 , 1
13 , 8 , 1
13 , 13 , 1
13 , 215 , 1
13 , 103 , 1
13 , 143 , 1
13 , 133 , 1
13 , 146 , 1
13 , 25 , 1
13 , 66 , 1
13 , 171 , 1
13 , 11 , 1
13 , 207 , 1
13 , 49 , 1
15 , 66 , 1
15 , 201 , 1
15 , 171 , 1
15 , 101 , 1
15 , 125 , 1
15 , 15 , 1
15 , 30 , 1
16 , 10 , 1
16 , 100 , 1
16 , 116 , 1
16 , 74 , 1
16 , 112 , 1
16 , 187 , 1
16 , 24 , 1
16 , 167 , 1
16 , 36 , 1
16 , 35 , 1
16 , 115 , 1
16 , 102 , 1
16 , 171 , 1
16 , 16 , 1
16 , 136 , 1
16 , 143 , 1
17 , 66 , 1
17 , 197 , 1
17 , 27 , 1
17 , 103 , 1
17 , 180 , 1
17 , 143 , 1
17 , 17 , 1
17 , 148 , 1
17 , 171 , 1
17 , 147 , 1
17 , 134 , 1
11 , 207 , 1
11 , 11 , 1
11 , 146 , 1
11 , 215 , 1
11 , 138 , 1
11 , 191 , 1
12 , 174 , 1
12 , 12 , 1
14 , 183 , 1
14 , 85 , 1
14 , 14 , 1
14 , 38 , 1
14 , 74 , 1
14 , 171 , 1
14 , 31 , 1
14 , 75 , 1
14 , 115 , 1
14 , 124 , 1
18 , 141 , 1
18 , 53 , 1
18 , 171 , 1
18 , 18 , 1
18 , 80 , 1
19 , 4 , 1
19 , 25 , 1
19 , 19 , 1
19 , 175 , 1
19 , 184 , 1
20 , 204 , 1
20 , 80 , 1
20 , 174 , 1
20 , 45 , 1
20 , 115 , 1
20 , 20 , 1
20 , 139 , 1
20 , 178 , 1
20 , 49 , 1
20 , 53 , 1
20 , 141 , 1
20 , 26 , 1
20 , 199 , 1
20 , 136 , 1
20 , 171 , 1
22 , 49 , 1
22 , 139 , 1
22 , 86 , 1
22 , 164 , 1
22 , 214 , 1
22 , 176 , 1
22 , 136 , 1
22 , 174 , 1
22 , 20 , 1
22 , 163 , 1
22 , 81 , 1
22 , 42 , 1
22 , 41 , 1
22 , 26 , 1
22 , 95 , 1
22 , 206 , 1
22 , 119 , 1
22 , 45 , 1
22 , 72 , 1
22 , 141 , 1
22 , 169 , 1
22 , 171 , 1
22 , 77 , 1
22 , 115 , 1
22 , 22 , 1
23 , 62 , 1
23 , 213 , 1
23 , 59 , 1
23 , 112 , 1
23 , 190 , 1
23 , 51 , 1
23 , 110 , 1
23 , 23 , 1
23 , 38 , 1
23 , 130 , 1
23 , 24 , 1
23 , 97 , 1
24 , 62 , 1
24 , 24 , 1
25 , 73 , 1
25 , 19 , 1
25 , 154 , 1
25 , 39 , 1
25 , 184 , 1
25 , 25 , 1
25 , 43 , 1
25 , 95 , 1
25 , 155 , 1
25 , 4 , 1
25 , 149 , 1
25 , 175 , 1
25 , 2 , 1
26 , 12 , 1
26 , 49 , 1
26 , 114 , 1
26 , 115 , 1
26 , 139 , 1
26 , 171 , 1
26 , 26 , 1
26 , 178 , 1
26 , 81 , 1
26 , 167 , 1
26 , 136 , 1
26 , 174 , 1
26 , 164 , 1
26 , 218 , 1
26 , 20 , 1
26 , 45 , 1
26 , 123 , 1
26 , 86 , 1
27 , 159 , 1
27 , 89 , 1
27 , 215 , 1
27 , 87 , 1
27 , 27 , 1
28 , 118 , 1
28 , 127 , 1
28 , 45 , 1
28 , 214 , 1
28 , 49 , 1
28 , 139 , 1
28 , 77 , 1
28 , 44 , 1
28 , 169 , 1
28 , 104 , 1
28 , 78 , 1
28 , 92 , 1
28 , 61 , 1
28 , 9 , 1
28 , 111 , 1
28 , 52 , 1
28 , 199 , 1
28 , 55 , 1
28 , 217 , 1
28 , 28 , 1
28 , 218 , 1
28 , 99 , 1
28 , 109 , 1
28 , 123 , 1
28 , 156 , 1
28 , 47 , 1
28 , 136 , 1
28 , 81 , 1
28 , 172 , 1
29 , 66 , 1
29 , 143 , 1
29 , 207 , 1
29 , 29 , 1
29 , 125 , 1
30 , 65 , 1
31 , 74 , 1
31 , 117 , 1
31 , 69 , 1
31 , 149 , 1
31 , 182 , 1
31 , 106 , 1
31 , 35 , 1
31 , 176 , 1
31 , 31 , 1
32 , 215 , 1
32 , 65 , 1
32 , 81 , 1
32 , 172 , 1
32 , 222 , 1
32 , 133 , 1
32 , 123 , 1
32 , 2 , 1
32 , 3 , 1
32 , 13 , 1
32 , 184 , 1
32 , 195 , 1
32 , 32 , 1
32 , 100 , 1
32 , 205 , 1
32 , 207 , 1
32 , 186 , 1
32 , 208 , 1
32 , 135 , 1
32 , 221 , 1
32 , 105 , 1
33 , 33 , 1
33 , 174 , 1
33 , 115 , 1
33 , 96 , 1
33 , 127 , 1
33 , 95 , 1
34 , 126 , 1
34 , 131 , 1
35 , 31 , 1
35 , 117 , 1
35 , 155 , 1
35 , 35 , 1
35 , 88 , 1
35 , 77 , 1
35 , 75 , 1
35 , 74 , 1
35 , 200 , 1
35 , 69 , 1
35 , 47 , 1
35 , 119 , 1
35 , 143 , 1
35 , 90 , 1
36 , 193 , 1
36 , 210 , 1
36 , 119 , 1
36 , 156 , 1
36 , 64 , 1
36 , 69 , 1
36 , 90 , 1
36 , 42 , 1
36 , 36 , 1
36 , 115 , 1
36 , 92 , 1
36 , 74 , 1
36 , 63 , 1
36 , 186 , 1
36 , 198 , 1
36 , 154 , 1
36 , 91 , 1
36 , 86 , 1
36 , 145 , 1
37 , 143 , 1
37 , 153 , 1
37 , 115 , 1
